ID,Description,Entry_ID,Antonym,Encyclopedic_Info,Media_IDs,Near_Synonym,Scientific_Name,Semantic_Domain,Synonym
SN000810,cassava cake (made in flat container like pizza),biskar_qeki,,,,,,,biskar_porma
SN000811,"cassava garden, cassava plantation",biskarar,,,,,,,
SN000812,sago stocks,bitapa,,,,,,,
SN000813,sago plantation,bitrar,,,,,,,
SN000814,male personal name,Biyaga,,,,,,,
SN000815,real owner,biyaguna,,,,,,,
SN000816,"lift up, struggle with something",LX000304,,,,,,,
SN000817,try to pull out a splinter,LX000304,,,,,,,
SN000818,"have a taste for something, a desire to consume",LX000304,,,,,,,
SN000819,vine species,biynd,,,,,Flagellaria indica,Plant,
SN000820,plant species,biynd,,,,,Parinari nonda (Corymbosa?),Plant,
SN000821,"special type of coconut, coconuts all hang together, doesn't make flowers (JR photographed holding ag pip in his left hand and bkal ag in his right)",bkal_ag,,,,,,Tree,
SN000822,"mend, patch in basket",bkbk,,,,,,Bag,
SN000823,plant species,LX000305,,,ec5e683a801fa252ce91639923ce6d03 ; 6233d13df2dad1f1afb5efbea70c4309,,Abrus precatorius,Plant,
SN000824,"type of lizard, poss. Sphenomorphus Jobiensis",bko,,Like déng̅ but has softer skin.,,,,Lizards and goannas,
SN000825,flower,blawa,,,,,,Parts of a plant,
SN000826,male personal name,Blba,,,,,,,
SN000827,cooking grid make of small sticks,ble_1,,,,,,,
SN000828,roast,ble_2,,,,,,,
SN000829,barbecue cross-pieces that sit in forked sticks and support smaller sticks places at right-angles to them,ble_bu,,,,,,Fire,
SN000830,"bush barbecue or grill, made from four small forked sticks supporting 2 cross pieces, with thinner cross-pieces laid across them at right-angles",ble_pap,,,,,,Fireplace,
SN000831,forked stick in bush barbecue. Two pairs of them support a stick frame made of two ble bu,ble_sm,,,,,,Fireplace,
SN000832,"barbecue cross-sticks for bush barbecue, sitting on top of the side-rails at right-angles",LX000306,,,,,,Fire,
SN000833,"cross-piece, sticks lying crosswise",bleble,,,,,,,
SN000834,"wooden rollers for rolling heavy dugout canoe through jungle, e.g. made from kbr wood",bleble,,,,,,,
SN000835,cross-beams,bleble_bu,,,,,,,
SN000836,grilled on a bush barbecue,blemne,,,,,,Fire,
SN000837,meat grilled on a ble or bush barbecue,blemne_parwae,,,,,,Fire,
SN000838,"place name, west side of mouth of Wasikusa",Blib,,,,,,,
SN000839,great-billed heron (member of gu family),blin,,,e6b4580a6588aabe063f6e85ff6b6349,,Ardea sumatrana,Bird,
SN000840,"lobster, yabbie, feshwater prawn",blinti,,,,,,Crustacean,
SN000841,"grass type, with purple/violet berries",blmbl,,,9f51267aea6d4b2c30bbaae1bc096e60,,Dianella ensifolia,Plant,
SN000842,type of snake,blmbl_kanam,,"Suggested as alternative name for snake photographed by Michael in his 2011 picture set, at Digicel Office - other name suggested was ponpon",,,,,
SN000843,place at Mewang Pan where Sodeapo and her husband took refuge from a bushfire,Blmbl_kms_pap,,,,,,,
SN000844,plant species,blmbl_ks,,,,,,Plant,
SN000845,tongue - incorrect pronunciation of bnge that is used by some people,blnge,,,,,,,
SN000846,"sole (fish), applies to freshwater tongue sole and all other soles",blnge,,,,,,Fish,
SN000847,flame,blngeblnge,,,,,,,
SN000848,"rat type, lives under the ground, quite small (4-5 inches), has a strong smell in its fur",LX000307,,Isn't eaten because of its smell.,,,,Rodent,
SN000849,"you (singular, dual or plural)",bm,,,,,,,
SN000850,"ibis - term is applied to three types, the Australian white ibis, the glossy ibis and the straw-necked ibis, as well as the Royal Spoonbill",bmb,,,,,"Plegadus falcinellus, Threskiornis molucca, Threskiornis Spinicollis",Bird,
SN000851,you (non-singular ergative),bmbem,,,,,,,
SN000852,rotten egg,bmbq,,,,,,Egg,
SN000853,"Lorentz's Grunter, Lake Grunter",bmbrs,,,,,,Fish,
SN000854,plant species,bmdr,,Other clans use it for magic.,,,Pipterus argenteus,Plant,
SN000855,plant species,bmdr,,There are several species in this family; this is also a bmdr pip which is found in the grassland,,,Parasponia rigida.,Plant,
SN000856,Papua flower pecker,bmdr_dbi,,,,,,Bird,
SN000857,plant species,bmdrbmdr,,,,,Parasponia rugosa,Plant,
SN000858,lichen,bmrbmr,,,,,,"Moss, fungus, algae",
SN000859,"swamp plant, root used as dark fibre",bmykp,,,,,,Plant,
SN000860,"D'Albertis' python, similar colour to a Papuan black snake, red mark on jaws, good to eat, very greasy",bn,,Lives around village but very shy,,,,Snake,
SN000861,plant species,LX000308,,Called this because when you eat the seeds your tongue will be black and blue.,,,Flacourtiaceae sp.,Plant,
SN000862,plant species,LX000309,,,,,Choriceras sp.,Plant,
SN000863,tongue,LX000310,,,,,,Head,
SN000864,ready? Meaning needs checking,bnan,,,,,,,
SN000865,drill through,LX000311,,,,,,,
SN000866,common carp,LX000312,,,,,,Fish,
SN000867,"ready, prepared",bnbn,,,,,,,
SN000868,plant species,LX000313,,,,,Garsinia sp.,Plant,
SN000869,"plant species, red roots used as dye, leaves for weaving mats",LX000314,,"Used in bag-making, probably a type of sedge",,LX001675,Sedge sp. (Cyperaceae?),Plant,
SN000870,"plant species, still unidentifie",bnder,,,,,,,
SN000871,"name of swamp near village of Mär, so-called because a lot of bnder plants are growing there",Bnderba_Sao,,,,,,,
SN000872,"type of swamp grass, with white leaf",LX000315,,,,,,Plant,
SN000873,"marks, painting etc, e.g. pattern put on body",LX000316,,,,,,,
SN000874,colour,LX000316,,,,,,,
SN000875,"word (that has been written), physical marking representing a word, letter",LX000316,,,,,,,
SN000876,"message, letter",LX000316,,,,,,,
SN000878,envelope,LX000317,,,,,,,
SN000879,"stamp, postage stamp",LX000318,,,,,,,
SN000880,"words, stories",LX000319,,,,,,,
SN000881,decorations (e.g. mud on body),LX000319,,,,,,,
SN000882,colour,LX000319,,,,,,,
SN000883,honeyeater species,LX000320,,Has a bit of colour on its chest.,,,,Bird,
SN000884,Zoe Imperial Pigeon,LX000321,,,,,Ducula zoeae,,
SN000885,spotted cuscus,LX000322,,,,,,Marsupial,
SN000886,sore,bnend,,,,,,,
SN000887,ulcer,bnend_kitong,,,,,,Skin disease,
SN000888,"person's name (not known if male or female, and no examples yet)",Bnm,,,,,,,
SN000889,fire,bnz,,,,,,,
SN000890,ashes,bnz,,,,,,,
SN000891,heat,bnz,,,,,,,
SN000892,fimbriate gudgeon,LX000323,,,,,,Fish,
SN000893,"charcoal, fine ash, burning cinders",bnz_berko,,,,,,,
SN000894,"flame, tongue of flame",bnz_blngeblnge,,,,,,What fires produce,
SN000895,fire flame,bnz_bnngebnnge,,,,,,,
SN000896,firewood,bnz_dng,,,,,,,
SN000897,Saturday,bnz_ibars,,,,,,,
SN000898,firewood that has gone out,bnz_kmbokmbo,,,,,,,
SN000899,fine ash. no longer burning,bnz_pag,,,,,,,
SN000900,"kindling, twigs",bnz_prapr,,,,,,Fuel,
SN000901,fire smoke,bnz_qamb,,,,,,,
SN000902,fire heat,bnz_rimerme,,,,,,,
SN000903,"firestick, burning piece of wood, lighted wood",bnz_sn,,,,,,,
SN000904,plant species,LX000324,,"Used to heal burns. Fresh leaves can be taken off branch that has been placed on a fire, and tied onto fire burns or ulcers.",,,"Guioa acutifolia, poss. also other Guioa sp",Plant,
SN000905,plant species,LX000324,,,,,Cryptocareya sp.,Plant,
SN000906,vine species,LX000325,,,,,Annonaceae,Plant,
SN000907,"water (baby talk, to a child)",bo_1,,,,,,,
SN000908,"water (baby talk, used in talking to kids)",bo_2,,,,,,,
SN000909,"bird species, probably koel",boa,,,,,,Bird,
SN000910,two manucode species: trumpet manucode and glossy-mantled manucode,boaboa,,,007b9963babea38b6a6a53536288d619,,"Phonygammus keraudrenii, Manucodia ater",Bird,LX001347
SN000911,manucode bird - term is aplied both to the glossy mantled manucode and the trumpet manucode,boaboak,,,,,,Bird,
SN000912,magnificent riflebird,boak,,,ba614592f348a18981994ddc263a4916,,Ptiloris magnificus,Bird,
SN000913,caterpillar,bogr,,,,,,Insect,
SN000914,"oriole. The term is applied to three different oriole species, the Yellow Oriole, the Olive-backed Oriole and the Brown Oriole",bogrwiyawiyao,,According to JN the term is built from the word bogr 'catepillar' (which it eats) plus the name of the call (wiyao! or wiyawiyao!) that it gives to coax out the caterpillar.,,,"Oriolus sagittatus, Oriolus szalayi, Oriolus flavocinctus",Bird,
SN000915,"Pacific baza (crested hawk). Lives in swamp; kills fish, rats, bandicoots.",boidre,,,694a1ede60e71836d4e140ed1d675bcc,,Aviceda subcristata,Bird,
SN000916,cicada type,boidrere_pip,,,,,,Insect,
SN000917,name of old village close to Gopap / Govav / Gubam,Boite,,,,,,,
SN000918,"place name, along road from Bimadbn to Dimsisi",Bok,,,,,,,
SN000919,spear type,bokao,,,,,,,
SN000920,plant species,LX000326,,Also known as awiya bokaobokao when used to cure dogs hit by a cassowary.,,,Boreria spermacocae,Plant,
SN000921,"type of bird, like an eagle",bokar,,,,,,,
SN000922,"name of tuwirer for clan, Sangara section, ӓkmӓr tribe. Mentioned in Ayres 192, as obsolete",bokar,,,,,,,
SN000923,type of epiphyte with flower,LX000327,,Used to whip dog's legs to make them run fast,,,Gastonia spectabilis,Plant,
SN000924,plant species,LX000327,,,,,Schefflera sp.,Plant,
SN000925,clan name,Bokaro,,,,,,,
SN000926,west,bolmbol_1,,,,,,,
SN000927,"season when the rain comes from the west - from November to May. Heavy rains begin at the end of December, January and continue to March",bolmbol_2,,,,,,,
SN000928,"shell, medium-sized, like a conch shell, white with brown colorations, was also used as a penis covering",bolo_1,,,,,,,
SN000929,title combined with given name in addressing or referring to older men (aosa is the equivalent for women),bolo_2,,,,,,,
SN000930,old man,Bolo,,,,,,,
SN000931,older person,Bolo,,,,,,,
SN000932,shell penis covering,bolo_patapata,,,,,,,
SN000933,ballpoint hammer,bolpen,,,,,,,
SN000934,plant species with edible fruit,bomae,,,,,Cynometra sp.,,
SN000935,flower,bombo,,,,,,Parts of a plant,
SN000936,white-spotted mannikin,bompi,,eats grass seeds,5f74ef229e6dd3e7f59b809f7fcf2b92,,Lonchura leucosticta,Bird,
SN000937,red-bellied pitta,bonzako,,,,,,Bird,gondako
SN000938,"wound, deep cut",bor,,,,,,,
SN000939,sound of bamboo flute (check meaning - might be just 'bamboo flute'),boraro,,,,,,Musical instrument,
SN000940,dive,bosae,,,,,,,
SN000941,"tree species, growing in middle of swamp, smilar to ziwil, bark is nearly the same, but the leaf is a bit shorter, milky sap",botap,,,,,Alstonia sp.,Plant,
SN000942,female personal name,Bowa,,,,,,,
SN000943,plant species,br,,,,,Flindersia brachycarpa,Plant,
SN000944,plant species,br,,,,,Flindersia amboinensis,Plant,
SN000945,"'delivery ward', place where women would give birth",brake,,,,,,,
SN000946,veranda,brande,,,,,,,
SN000947,stop (obj.),LX000328,,,,,,,
SN000948,"stop at a place, stay",LX000328,,,,,,,
SN000949,"prevent, forget about, abandon",LX000328,,,,,,,
SN000950,"divorce, leave (spouse)",LX000328,,,,,,,
SN000951,"leave, take leave of (e.g. when travelling)",LX000328,,,,,,,
SN000952,"stop, desist from (used with transitive verb)",LX000328,,,,,,,
SN000953,"abandoned, left behind",LX000329,,,,,,,
SN000954,divorced,LX000329,,,,,,,orsmne
SN000955,"knock down (e.g. coconut off tree), pick (e.g. chillies): remove fruit from tree by suitable means",LX000330,,,,,,,
SN000956,"shame, modesty",brbr_1,,,,,,,
SN000957,"afraid, frightened",brbr_2,,,,,,,
SN000958,fear,brbr_3,,,,,,,
SN000959,for fear of,brbr_4,,,,,,,
SN000960,"fear, shame, shyness",brbr_5,,,,,,,
SN000961,"easily frightened, timorous, ""scary""",brbr_kpte,,,,,,,
SN000962,(O) feel afraid,LX000331,,,,,,,
SN000963,frighten,brbrba_wets,,,,,,,
SN000964,unafraid,LX000332,,,,,,,
SN000965,"make fresh, freshen up",breng_1,,,,,,,
SN000966,bless,breng_1,,,,,,,
SN000967,"fix, repair",breng_1,,,,,,,
SN000968,"settle, sort out (dispute)",breng_1,,,,,,,
SN000969,prepare,breng_1,,,,,,,
SN000970,promise,breng_1,,,,,,,
SN000971,"prepare to, get ready to",breng_2,,,,,,,
SN000972,blessing,brengs_yam,,,,,,,
SN000973,west side people,Brima,,"Applied to people wose territories are on the Indonesian side, like Tugeri.",,,,,
SN000974,plant species,brima_koskos,,,,,Fabaceae Pitechelobium,Plant,
SN000975,plant species,LX000333,,Brima people used it for magic; but local people use it as a general medicinal plant.,,,Euphorbeaceae sp.,Plant,
SN000976,plant species,LX000334,,,,,Cymbopogon citratus,Plant,
SN000977,"saliva, spit",brm,,,,,,,
SN000978,Pacifc blue-tailed skin,brm_kapser,,Said to pick up your spit when you spit,,,,,
SN000979,spirit; can also be used for 'holy spirit' in Bible,brmbr,,,,,,,LX001317
SN000980,soul,LX000335,,,,,,,
SN000981,"slimy or sticky substance, well-lubricated susbtance, e.g. greasy part of a fish or the sticky stuff on the scales of an eelfish",brngr,,,,,,,
SN000982,unwashed body substance,brngr,,,,,,,
SN000983,vaginal juices,brngr,,,,,,Female organs,
SN000984,quarrel with,brors,,,,,,,
SN000985,noise of cassowary - roaring voice like thunder,brr_ke,,,,,,,
SN000986,"spit, spittle",brram,,,,,,,
SN000987,"hold something down, 'step it on'",brs,,,,,,,dom
SN000988,"succeed a clan, take over land ownership from another clan",brs,,,,,,,
SN000989,"sago-squeezing bag, into which pounded sago is put before squeezing",LX000336,,,,,,,
SN000990,reed species,brtar,,Used to be used by ladies for grass skirts,,,Sedge sp.,"Grass, herb, vine",
SN000991,"sharp, of shell used to cut markings on body",brte,,,,,,,
SN000992,good (Bepi variety),brte,,,,,,,
SN000993,flowering vine. Used as dye for grass skirt,bru,,,,,,"Grass, herb, vine",
SN000994,red,bru,,,,,,,
SN000995,"green fruit pigeon: generic term applied to several types of green fruit pigeon: the coronetted fruit dove, the superb fruit dove, and the rose-crowned fruit dove",brum,,,352077a8f9b2db2db88c5123120526cc ; 709a2e2df89bdcd9a7ff268cea050c75,,"Ptilinopus aurantiifrons, Ptilinopus superbus, Ptilinopus coronulatus, Ptiliponus iozonus.",Bird,
SN000996,jaw,btkam,,,,,,Head,
SN000997,beard,btkamgeb,,,,,,,
SN000998,bearded,btkamgiebba,,,,,,,
SN000999,"post-pubertal (of man), already having facial hair",btkamgiebba,,,,,,,
SN001000,"smooth-faced, still lacking a beard, beardless",btkamgiebpna,,,,,,,
SN001001,kiss each other on the cheek,LX000337,,,,,,,
SN001002,fallen log,bu,,,,,,,
SN001003,generation level (check),bu,,,,,,,
SN001004,"boundary marker, border mark between one part of a garden and another (kkp bu), band bu 'landmark'",bu,,,,,,,
SN001005,friend,buder,,,,,,,kaeg
SN001006,"hospitality, literally 'friend welcoming'",buder_gns,,,,,,,
SN001007,girlfriend,buder_mleg,,,,,,,
SN001008,"clan, in Dimsisi area, called Bugi in Idi language",Bug,,,,,,,
SN001009,"sound made by thumping or stomping on the ground, to imitate wallabies' tails, to attract their attention and bring them closer",bukibuki,,,,,,,
SN001010,name of village near mouth of Morehead river,Bula,,,,,,,
SN001011,female personal name,Bun,,,,,,,
SN001012,"type of shell used as yam scraper, mostly found in Fly River Tributary",bundi_et_got,,,,,,Shellfish ; Food preparation utensil,
SN001013,"tree species, tall, has edible fruit, like bune. Flowers in October",bunebune,,,,,,Tree,
SN001014,tree species,bunibuni,,"Cassowaries eat its fruit; people eat the fruit, which makes their lips purple. Grows by airstrip; photographed just before departure. In addition to the standard species, two further varieties are recognised, named by size: kitong bunibuni and korkorp bunibuni (not ident.)",,kitong_bunibuni,Syzygium sp.,Plant,
SN001015,creek (place name?),Bura,,,,,,,
SN001016,ceremony involving the gift of a large quantity of yams and a pig by a sister to her brothers,buregu,,,,,,,
SN001017,iron axe,busel,,,,,,,turik
SN001018,"stomach (guts), where the food is stored",busgi,,,,,,,
SN001019,contents of stomach,busgi,,,,,,,
SN001020,"crop of cassowary, 'parcel' in cassowary's stomach that is full of seeds",busgi_ambrambr,,,,,,,
SN001021,female personal name,Butama,,,,,,,
SN001022,knee,LX000338,,,,,,,
SN001023,bounce on ones knees,LX000339,,,,,,,
SN001024,kneecap,LX000340,,,,,,,
SN001025,while kneeling,LX000341,,,,,,,
SN001026,doggy style (love-making position),LX000341,,,,,,,
SN001027,"fern, has bulb like an onion",byangobyango,,,,,,Plant,
SN001028,dolphin,bz,,,,,,Mammal,
SN001029,chew,LX000342,,,,,,,
SN001030,"meet, make the acquaintance of",LX000343,,,,,,,
SN001031,plant species with edible fruit,d_mse,,,,,Helicia sp.,Plant,
SN001032,"here, hand it over, give it",LX000344,,,,,,,
SN001033,"chunks of flesh, pieces of flesh",LX000345,,,,,,,
SN001034,"break up, cut up into pieces (anthill, meat etc.)",LX000346,,,,,,,
SN001035,chop,LX000346,,,,,,,
SN001036,male personal name,LX000347,,,,,,,
SN001037,"'diver', term applied to cormorants and darters, more properly known as grangra",daeba,,,,,,Bird,
SN001038,Papua tandan,LX000348,,,,,,Fish,
SN001039,duck,dak,,,,,,Bird,
SN001040,"reclining stretcher, half-stretcher, half-chair, used so sick people can sit upright",dalmadalma,,,,,,,
SN001041,ladder,dalmadalma,,,,,,,
SN001042,female personal name (sometimes written Demi in English),LX000349,,"Bearers: (a) Demi Teräb, wife of Kmgo Blba",,,,,
SN001043,Woman's personal name,LX000349,,,,,,,
SN001044,"1296; fourth power of six. Used as the counting base for numbers from 1296 up to 7775, after which numbers built on wӓrӓmaka '7776' take over",damno,,,,,,,
SN001045,name of garden hamlet about 3 km north of Bimadbn,LX000350,,,,,,,
SN001046,small black ants found on savannah,LX000351,,,,,,Insect,
SN001047,dugong,dangal,,,,,,,mml
SN001048,dugong,dangan,,,,,,Sea mammal,aragab_kiemb ; mml
SN001049,scorpion,danganini,,,,,,Insect,
SN001050,Yellow part at back of cassowary's neck,LX000352,,,,,,Parts of a bird,
SN001051,elbow,LX000353,,,,,,,
SN001052,blue,dangiri,,,,,,,
SN001053,blue sky,dangiri,,,,,,Sky,
SN001054,blue,dangiri_gane,,,,,,,
SN001055,blue,dangiri_ganewat,,,,,,,
SN001056,fruit tree species,LX000354,,Fruit eaten.,,,Syzygium versteegii,Plant,
SN001057,"outsider, foreigner, newcomer, someone from a different group, different village etc; someone without long-standing ties to the speaker's locality",LX000355,yuri,,,,,,
SN001058,"Name of ancestor. Dara was one of two brothers (the other was Demba) who separated at the garden place known as Bema. People of the Awia Tuwirer or Awia Sangara group are descended from Demba, but all the descendants of Dara (who were called Dbn Sangara) died.",Dara,,,,,,,
SN001059,stunted sago,LX000356,,,,,,Plant,
SN001060,"plant with a fruit like a cucumber, which was used as a water container. The plant has disappeared",LX000357,,,,,,Plant,
SN001061,Dual form of darngr see that entry for examples,LX000358,,,,,,,
SN001062,"sago type, shorter, no thorns",LX000359,,,,,,Plant,
SN001063,"kind of ant, lies underground and bites",LX000360,,,,,,Insect,
SN001064,cause to flicker,LX000361,,,,,,,
SN001065,flutter,LX000361,,,,,,,
SN001066,"smack, whip, flog",LX000361,,,,,,,
SN001067,be open,LX000362,,,,,,,
SN001068,"be (of something low and open), be below ground level (of a ditch, pit etc.)",LX000362,,,,,,,
SN001069,be a hole,LX000362,,,,,,,
SN001070,Daru,Daro_samba,,,,,,,
SN001071,"crush with a sharp object, e.g. when killing a louse with a nail",dars_1,,,,,,,
SN001072,"make open, break open, make a hole",dar_2,,,,,,,
SN001074,"poison, splash",LX000363,,,,,,,
SN001075,large pig,darubi,,,,,,,
SN001076,"name of 'point' at edge of swampy valley, E from Dnge",Daruym_Glud,,"GPS 08 32.045 S, 142 04.873 E, el. 24 m",,,,,
SN001077,when just at that moment,das,,,,,,,
SN001078,wild taro,LX000364,,,,,,Plant ; Food,
SN001079,Dutch,Dasi,,,,,,,
SN001080,"West Papuan, West Irianese (Melanesian), so-called because their area used to be ruled by the Dutch",Dasi,,,,,,,
SN001081,Indonesian language,dasi_zi,,,,,,,
SN001082,male personal name,Datmo,,,,,,,
SN001083,stem,dbn,,,,,,,
SN001084,fault,dbn,,,,,,,
SN001085,"stump, base",dbn,,,,,,,
SN001086,"basis, reason",dbn,,,,,,,
SN001087,mouth (of a river),dbn,,,,,,,
SN001088,"sucker yam, yam kept for planting next year",dbn_nne,,36 will be planted in one row,,,,Plant,
SN001089,"because of, so, for this reason",LX000365,,,,,,,
SN001090,parasitic plant species,LX000366,,"Sort of a parasitic plant that just comes out of the bark, and grows into a white slowering vine. Goe: may be part of the sébim family.",,,Musaenda cylindrica,Plant,
SN001091,tree kangaroo,dboyam,,"hops like a bush wallaby; when it climbs up a tree it uses its tail and its hands, as well as its tail",,,,Marsupial,
SN001092,"if, when, provided that (more examples needed)",de_1,,,,,,,
SN001093,"when, at that time",de_1,,,,,,,
SN001094,as.for,de_2,,,,,,,
SN001095,root species that people used to eat in the olden days before they had yams; photo taken of Kaeko holding one of these,debag,,,,,,,pngar
SN001096,"after that, after",LX000367,,,,,,,
SN001097,father,dede,,,,,,"Father, mother",
SN001098,parent (when used in plural),dede,,,,,,,
SN001099,daddy long legs spider,LX000368,,,,,,,awiawia ; awia-awia
SN001100,accidentally,LX000369,,,,,,,
SN001101,"stem (e.g. of biyangobiyango fern), part of banana from which the hand of bananas hangs",LX000370,,,,,,,
SN001102,bud,LX000370,,,,,,,
SN001103,penis (euph.),LX000370,,,,,,,
SN001104,handle,LX000371,,,,,,,
SN001105,bronze quoll,LX000372,,,,,,Marsupial,
SN001106,personal name,Demba,,,,,,,
SN001107,Name of ancestor. Demba was one of two brothers (the other was Dara) who separated at the garden place known as Bema. People of the Awia Tuwirer or Awia Sangara group are descended from Demba. Demba's descendants were called Sémi Sangara because the river source was where they lived.,Demba,,,,,,,
SN001108,"shortened, cut-off",LX000373,wngri ; wngri,,,,,,
SN001109,"short throwing stick, for throwing at coconut - see wén démboldémbol",LX000374,,,,,,,
SN001110,full-grown cassowary,LX000375,,,,,,Bird,
SN001111,really big cassowary,LX000376,,,,,,Bird,
SN001112,blunt,LX000377,snte,,,,,,
SN001113,"plant species, with edible fruit",LX000378,,,,,Helicia amplifolia,Plant,
SN001114,"that way, over there",den,,,,,,,
SN001115,now (in imperatives),denan,,,,,,,
SN001116,beetle,LX000379,,,,,,Insect,
SN001117,"noisemaker, swung in the air like a bullroarer to make a noise",LX000380,,,,,,,
SN001118,"type of yam, variety of mingane",LX000381,,,,,photographed 7th in series after CR68,"Food from roots ; Grass, herb, vine",
SN001119,type of yam,LX000382,,,,,,Plant ; Food from roots,
SN001120,plant used as source of yellow dye,LX000383,,,,,,"Bush, shrub",
SN001121,yellow,LX000383,,,,,,,
SN001122,yellow,LX000384,,,,,,,
SN001123,Yellow-bellied Sunbird,LX000385,,,74ee860a4acbf26df8e128b4aaee7b4a ; 5ee1764a1dc0ed1572ca9edc969b0699,,Cinnyris jugularis,Bird,LX000928
SN001124,"immature green tree python - still yellow in colour, as opposed to green-coloured adult",LX000386,,,,,,Snake,
SN001125,comb-spined catfish (because of yellow patch),LX000387,,,,,,Fish,
SN001126,"like this, thus",dene_1,,,,,,,
SN001127,how,dene_2,,,,,,,
SN001128,"how deep, how much (e.g. of water)",dene_gumbsgi,,,,,,,
SN001129,"how big, how much (e.g. of a body of water)",dene_kitong,,,,,,,
SN001130,seem,LX000388,,,,,,,
SN001131,like (especially in conjoining two clauses),dene_qabats,,,,,,,
SN001132,"how thick, how much (of dry or granular mass, like rice)",dene_zngte,,,,,,,
SN001133,"equali numbers of, in equal numbers",denedenes,,,,,,,
SN001134,for that reason,denemne,,,,,,,
SN001135,"how, by what means",denengama,,,,,,,
SN001136,how far,denengama_nasgi,,,,,,,
SN001137,"same, also",denes_1,,,,,,,
SN001138,too,denes_2,,,,,,,
SN001139,neither,denes_yao,,,,,,,
SN001140,"like this, this way",deneyame,,,,,,,
SN001141,piece of wood,LX000389,,,,,,,
SN001142,bamboo pipe,LX000390,,,,,,,
SN001143,old-style bamboo container,LX000390,,,,,,,LX000969
SN001144,blue-tongue lizard,LX000391,,"Like bko, but the latter has softer skin. Has a big head and is very strong, the head has scales, which can be removed with a knife likefish-scales. Can inflict a poisonous bite. It is no longer eaten but the ancestors used to eat it.",,,,Lizards and goannas,
SN001145,place name: swimming hole,LX000392,,,,,,,
SN001146,"name of creek, between Bimadbn and school",LX000393,,,,,,,
SN001147,how,denngama,,,,,,,
SN001148,black sunbird,LX000394,,= dbi in Idi,,,Leptocoma sericea,Bird,
SN001149,"generic term applying to sunbirds (olive-backed, black sunbird; also pygmy longbill is part of the dépi family though not diretly called a dépi)",LX000394,,,,,"In addition to the Black Sunbird, includes Oedistoma pygmaeum, Toxoramphus Novaeguineae",Bird,
SN001150,"black anthill. There are two types, one growing in the bush, and one on the savannah (pan déqén, wrng déqén)",LX000395,,"Will keep burning in a covered place for a long time, with no smoke, so good for hiding from enemies.",,,,Animal home ; Insect,
SN001151,"Clan name, Sangara section",Derder,,,,,,,
SN001152,yet (in negative imperatives),des_1,,,,,,,
SN001153,but,des_2,,,,,,,
SN001154,not yet,des_yao,,,,,,,
SN001155,dough,LX000396,,,,,,Prepared food,
SN001156,spear (blade?),LX000397,,,,,,,
SN001157,arrow,LX000397,,,,,,,
SN001158,hook of spear,LX000398,,,,,,,
SN001159,father's younger brother,detoge,,,,,,,
SN001160,banana variety,LX000399,,"From Indonesia, about 6 inches long, soft, skinned and cooked",,,,Plant,
SN001161,which (where identification depends on location),dga,,,,,,,
SN001162,which season,dga_keseren,,,,,,,
SN001163,"where (to), whither",dgae,,,,,,,
SN001164,"where, in which direction",dgae_tane,,,,,,,
SN001165,which way,dgaema,,,,,,,
SN001166,nowhere (when combined with negative),dgaema,,,,,,,
SN001167,"from where, originating where",dgaemne,,,,,,,
SN001168,where from,dgaengama_1,,,,,,,
SN001169,"where from, whence",dgaengama_2,,,,,,,
SN001170,"where to, whither",dgaet,,,,,,,dgae
SN001171,where (at),dgan,,,,,,,
SN001172,wherever (in correlative construction),dgan,,,,,,,
SN001173,which one,dgane_1,,,,,,,
SN001174,which,dgane_2,,,,,,,
SN001175,(large) prawn,dge,,,,,,Crustacean,
SN001176,"place name, in Kikiber lands, near creek crossing",Dgma,,"S08.40'16.3"", E 142.02'46.9""",,,,,
SN001177,female personal name,Dgma,,"This is the name of Zerus and Manae's secord-born child, a daughter.",,,,,
SN001178,slender-billed cuckoo dove; can also apply to the great cuckoo dove,dgoa,,,22bdeeb9b8807c1aaceb2a316ac94c09,,Macropygia amboinensis,Bird,
SN001179,deer,dia,,,,,,Mammal,
SN001180,"bird species, unidentified, also called dibi in Idi",dibi,,,,,,Bird,
SN001181,"tribe of Idi-speaking people from around Dimsisi; name of tribe, living east of Äkmär tribe and speaking Idi",Diblag,,,,,,,
SN001182,"personal name (family name?), as in Goe Dibod",Dibod,,,,,,,
SN001183,prison,dibora,,,,,,,
SN001184,"language name, dialectal relationship to Idi",Didigmae,,,,,,,
SN001185,female personal name,Dimbn,,,,,,,
SN001186,"piece, one short piece",dimbol,,,,,,,
SN001187,short pieces,dimboldimbol,,,,,,,
SN001188,Name of next village to the east of Bimadbn,Dimsisi,,,,,,,
SN001189,type of ginger,dindi_saragawa,,,,,,Plant,
SN001190,"dry, low (of river)",dipa,,,,,,,
SN001191,"dry ground, upland, inland (river)",dipa,,,,,,,
SN001192,"dry land, dry environment",dipa_got,,,,,,,
SN001193,plant species,dipa_grar,,Contrasts with nu grar in that is grows by river pools and has long leaves.,,,Pandanus sp.,Plant,
SN001194,tree species,dipa_yolale,,"Given earlier as yolaleyolale. There is also a yergb yolale, found near Mär",,,Syzygium sp.,Plant,
SN001195,high.ground,dipagot,,,,,,,
SN001196,plant species,dise,,,,,Endosperma moluccanum,Plant,
SN001197,bumpy road (whose bumps make you jump around on your bike like at a disco),disko_end,,,,,,,
SN001198,Emphasises urgency of a commpand,diwidiwi,,,,,,,
